cutoff	n.component	n.too.large.comp	max.size.comp	clst.closure.scr	clst.vote.scr	clst.center.scr	clst.center.merge.scr	clst.edit.vote.scr	clst.vote.prc	clst.vote.rec	clst.vote.f10	clst.vote.f05	clst.edit.vote.prc	clst.edit.vote.rec	clst.edit.vote.f10	clst.edit.vote.f05	clst.center.prc	clst.center.rec	clst.center.f10	clst.center.f05	clst.center.merge.prc	clst.center.merge.rec	clst.center.merge.f10	clst.center.merge.f05	clst.closure.prc	clst.closure.rec	clst.closure.f10	clst.closure.f05
0.55	30098	15	135	-51869.0534414708	18729.0258186169	5143.55314605619	-13762.3414666893	19287.8583320094	0.493992101504075	0.730616873533935	0.589443605441751	0.528206107298885	0.522021724282284	0.73611607350908	0.610852933024809	0.554262414350514	0.621052631578947	0.296956798657822	0.401795003835927	0.509779031750519	0.219954967632986	0.534168051822969	0.311601458961057	0.249281935215405	0.173936487015115	0.766703431562922	0.283546761804634	0.205751280864777
0.56	32896	8	123	-29059.348625868	17892.62652012	4937.59869786756	-7884.37802404847	18413.0261649793	0.511455209639605	0.728612927780281	0.601020002819103	0.543874784609212	0.540656450137237	0.734391748093145	0.622805688577395	0.570770742732407	0.645444083401029	0.296226678887111	0.406081965991248	0.522298122695824	0.259548690683534	0.52781445637146	0.347980602311541	0.288917611244802	0.217482758012453	0.766144190887484	0.338793384739563	0.253839320363864
0.57	35105	7	121	-19441.6880313457	17112.3025071351	4739.36302714887	-4620.18313047531	17562.6984106582	0.528130385321514	0.728395445295388	0.612303794823579	0.558861038605023	0.559232006813988	0.734360679166731	0.634941741378731	0.587240777041548	0.667659008125525	0.296133472107871	0.410287866559053	0.533735391783	0.293381706818399	0.523837633790564	0.376115374319622	0.321686073466647	0.249757976633975	0.765476208969599	0.376629928000367	0.288652257094756
0.58	36989	6	100	-13887.0108165505	16333.7131079677	4547.66075607061	-2157.7861315331	16733.1751819143	0.546896180993783	0.726997343606792	0.62421554570009	0.57540555892992	0.577823775812655	0.732869370698896	0.646176182551586	0.603352798389593	0.690237275855823	0.295993661939012	0.414316466981235	0.545044710028434	0.322936045110608	0.52045112081152	0.398565293424856	0.349460627136995	0.276450358515588	0.764233451913069	0.406026517668129	0.316904084916587
0.59	38466	6	97	-10520.9124512422	15570.4534898993	4359.70288630675	-1638.42347102861	15926.7827434832	0.566126528235979	0.725086604632377	0.635821851097595	0.592087070135603	0.595358019691716	0.730803287092415	0.656163915447971	0.618275966302619	0.709566901277325	0.295993661939012	0.417731786990551	0.554588584567919	0.343496166893161	0.51437714569773	0.411917646327051	0.367942999504402	0.299864563124565	0.763549935531978	0.430615847595352	0.341319585738908
0.6	39774	5	93	-8697.25319446965	14831.482704922	4178.11816148809	-1052.70730865148	15157.7809481899	0.585265463333585	0.722305935718391	0.6466044124907	0.608349448001738	0.614444255185336	0.728488652074628	0.666624020924844	0.634304233383921	0.728026914401499	0.295822782843739	0.4207003203358	0.563399033141816	0.3611269834293	0.510524598822488	0.423022712499276	0.383576609109945	0.319131362270581	0.762260575085828	0.449903956796604	0.361117448355546
0.61	40885	4	82	-6645.02193976625	14106.9314335659	4001.55599207034	-814.992261032009	14401.7178264053	0.604717954073707	0.719587404657232	0.657170825826039	0.624661184485554	0.634386707932888	0.725987603498361	0.677103179490152	0.650809787074044	0.742315953915251	0.2952635421683	0.422481050923559	0.569778108193989	0.378630861890891	0.506842931042518	0.433454671059624	0.398807501155096	0.340548440979955	0.760101284700107	0.470360917650791	0.382808135905103
0.62	41875	3	80	-5216.95715472514	13395.0742588965	3827.77221758024	-783.427305412138	13673.6747318244	0.6225623169629	0.71660478772156	0.666281505019138	0.639342944497881	0.655726168526833	0.723750640796607	0.688061200378072	0.668288498667439	0.755541380959975	0.294409146691936	0.423711950993215	0.575317681486743	0.394425171931106	0.503378745747441	0.442290893208124	0.412271974309975	0.359603151788544	0.75787985646156	0.48776756881055	0.401837413454268
0.63	42877	2	61	-2822.62878198886	12719.8163295573	3658.97478882577	-468.278488787258	12974.5759131891	0.643043332025338	0.712798844235937	0.676126693632164	0.65588041063817	0.674804090074868	0.719680611436472	0.696520255286521	0.683326007628566	0.768574215574703	0.293756699237258	0.42505366555402	0.580813199909085	0.41529807319281	0.498889285880726	0.453271984361658	0.429697639506226	0.385726781170483	0.753561275690119	0.510263867924032	0.427457601429647
0.64	43778	1	60	-1170.35527308702	12069.4854578421	3492.48396277471	238.916661276694	12298.2929063857	0.661270038595528	0.710639553850217	0.685066490954834	0.670587441987282	0.691800966357552	0.716185357214981	0.703782009693546	0.696544096984054	0.780394100879911	0.293461544436332	0.426529690675096	0.585945496616026	0.437497412686804	0.492520155966011	0.463381125677789	0.44749597034854	0.409342572306856	0.748838798875305	0.529332637878497	0.450159780808
0.65	44744	1	60	705.498427925759	11429.9387791265	3329.86754357257	726.008811420814	11641.9818108264	0.680851382074907	0.707113230702313	0.693733854559587	0.685946527545457	0.708667140957035	0.711804638590714	0.710232424766141	0.709292425813842	0.792613516590076	0.292047908284529	0.426826499568633	0.590270582546829	0.462732321362458	0.48538983735417	0.473790353151678	0.467093009002221	0.439732655178429	0.744054184207665	0.552776751915797	0.478907741993541
0.66	45682	1	60	1964.3238100163	10821.8464209318	3170.67642033728	1106.41116114324	11004.704126071	0.701793582821324	0.702654839762012	0.702223947215215	0.701965665262694	0.728315182575272	0.706445248784428	0.717213534889956	0.723833535477012	0.803411825369543	0.290447858574247	0.426652975069884	0.593702567619919	0.488445875556397	0.480713963928977	0.484549077328991	0.486879659144904	0.468326504884967	0.738694794401379	0.573229903139673	0.505316492284019
0.67	46552	0	45	3274.53307140146	10228.042363554	3015.37903824213	1457.40585865088	10387.681921646	0.719384398119173	0.696363382163329	0.707686721500403	0.714659226783579	0.744075829383886	0.699967377627266	0.721347954854719	0.734814954941438	0.814022787028922	0.288568188526246	0.426089250283853	0.596711916892061	0.519714485749902	0.472791387693598	0.495143735663039	0.509599252554275	0.498962545785607	0.732185854317804	0.593483803947493	0.532912276893228
0.68	47419	0	45	3980.8599674789	9655.50415907746	2863.06726189957	1629.50988394436	9791.29093301177	0.7381592039801	0.691454491790036	0.714043938944278	0.728320237717338	0.761851073643212	0.692805990089012	0.725689924498829	0.746962606647931	0.823721096330685	0.286657449551831	0.425306828003457	0.599197303563427	0.545525788226718	0.464993087163873	0.502050434826363	0.527262350582872	0.52719849317077	0.726127413667221	0.610875872343762	0.557759083586898
