cutoff	n.component	n.too.large.comp	max.size.comp	clst.closure.scr	clst.vote.scr	clst.center.scr	clst.center.merge.scr	clst.edit.vote.scr	clst.vote.prc	clst.vote.rec	clst.vote.f10	clst.vote.f05	clst.edit.vote.prc	clst.edit.vote.rec	clst.edit.vote.f10	clst.edit.vote.f05	clst.center.prc	clst.center.rec	clst.center.f10	clst.center.f05	clst.center.merge.prc	clst.center.merge.rec	clst.center.merge.f10	clst.center.merge.f05	clst.closure.prc	clst.closure.rec	clst.closure.f10	clst.closure.f05
0.5	2605	1	5178	-6687842.71291992	3604.83038567928	1219.36378063195	-695203.482579663	3644.75952743867	0.618514472965593	0.734674018812845	0.671608598962194	0.638711860583159	0.622610141313383	0.728835549789166	0.671548117154812	0.6413037273817	0.943940643033801	0.371391501783977	0.533054003724395	0.721487082545684	0.0167363621775206	0.575089198832306	0.032526141992295	0.0207693443072317	0.00704432386764206	0.800518975024327	0.0139657533471406	0.0087860761341265
0.51	2952	1	4380	-4876621.53435959	3392.57963610046	1179.4807287894	-2390215.04043525	3441.82655812666	0.612719891745602	0.73434965942264	0.668043670699321	0.633712142417287	0.620281069165059	0.730132987349984	0.670738974970203	0.63952497300983	0.943894389438944	0.371067142393772	0.532712456344587	0.72122052704577	0.0144327897467393	0.579305870904963	0.028163905731339	0.0179293147307491	0.00976742515830171	0.79403178722024	0.0192974711483887	0.0121718498128976
0.52	3303	2	3586	-3320224.77500112	3168.9440953548	1138.72944339063	-301314.706531566	3216.42186703279	0.621128318584071	0.728511190398962	0.670547842961636	0.639995440816094	0.633032694475761	0.728511190398962	0.677424219574725	0.650072358900145	0.942339373970346	0.371067142393772	0.532464510123342	0.720493764957803	0.0206543723973825	0.563087901394745	0.0398471302491593	0.0255833625616373	0.0144330142543141	0.785922802465131	0.028345480282168	0.0179588170157382
0.53	3606	1	2955	-2285631.46974323	2970.69583601484	1099.43635925285	-773947.04872992	3018.71218937587	0.627635960044395	0.733700940642232	0.676536563481382	0.6463226470084	0.638352272727273	0.728835549789166	0.680599727396638	0.654605838140185	0.943894389438944	0.371067142393772	0.532712456344587	0.72122052704577	0.0406886128559958	0.558871229322089	0.0758546303022299	0.0499515849408872	0.0221008126509993	0.783327927343497	0.0429887410440123	0.0274325205431526
0.54	3916	1	2371	-1496202.83347418	2785.47523480553	1059.96016205755	-626868.363010387	2839.7234200973	0.646957520091848	0.731106065520597	0.686462616110857	0.662201069393031	0.662418494368702	0.724943237106714	0.692271952919312	0.674045479220701	0.943940643033801	0.371391501783977	0.533054003724395	0.721487082545684	0.0588724488027998	0.551086603957185	0.106380314319704	0.0716762713151478	0.0353978399823672	0.781381771002271	0.067727515533189	0.0437517934784583
0.55	4229	2	1959	-1028852.42309354	2630.20933710563	1022.04816643561	-466845.026099176	2678.74270544153	0.656900087899209	0.727213752838145	0.690270935960591	0.66985360023902	0.673438447543966	0.720402205643853	0.696129133364677	0.682334869431644	0.94467382328654	0.371067142393772	0.532836516068934	0.721584458180901	0.0696322559366755	0.547843010055141	0.123559749807967	0.0843597350834607	0.0484389208851167	0.777489458319818	0.0911961649672805	0.059620043477612
0.56	4583	1	1523	-624341.309090209	2474.24768774596	983.46787952701	-213381.383196346	2518.69160918061	0.664876156371232	0.722672721375284	0.692570718060305	0.675683872141687	0.684681902408894	0.719104768083036	0.701471286188894	0.691300280636109	0.943303204601479	0.37236457995459	0.533953488372093	0.721921770846434	0.154960981047938	0.54103146286085	0.240918610529357	0.180758143869611	0.106875	0.776516380149205	0.187889965859593	0.129149898039554
0.57	4912	2	1153	-358982.704480628	2355.21024706329	946.920302849398	-123527.468853631	2398.773928498	0.674885844748859	0.719104768083036	0.696293969849246	0.683289157369167	0.694435712040239	0.716509892961401	0.705300127713921	0.698741064085532	0.943349753694581	0.372688939344794	0.534294350151128	0.722187303582652	0.272222222222222	0.524489133960428	0.358417377812258	0.301195842491525	0.200318631561295	0.774894583198184	0.318342327936571	0.235197983735995
0.58	5195	1	976	-258931.132853656	2213.22837367132	910.572770248923	-89318.3957867414	2254.52996631959	0.688202247191011	0.715212455400584	0.701447431207253	0.693439838983584	0.709749839640795	0.717807330522219	0.713755845831317	0.711346833815493	0.943349753694581	0.372688939344794	0.534294350151128	0.722187303582652	0.464809384164223	0.514109633473889	0.488218081010319	0.47389822400287	0.317939845621507	0.774894583198184	0.450882325186374	0.360451431847672
0.59	5501	2	641	-103157.086505233	2082.6576764532	875.007701820347	-14225.9404843768	2123.00253436554	0.703620634412047	0.712293220888745	0.707930367504836	0.705338215455772	0.723606557377049	0.715861174180993	0.71971302788195	0.722044101289014	0.943396226415094	0.373013298734998	0.534635053463505	0.722452569418269	0.566926345609065	0.519299383717159	0.542068732012866	0.556714653313861	0.491745769706975	0.772948426856958	0.601084626056249	0.530333377843059
0.6	5769	1	502	-57271.1370650418	1949.08122270685	840.250354383177	-5953.70021678256	1986.9876696218	0.70715206185567	0.71196886149854	0.709552287053499	0.708110200658107	0.729270729270729	0.710347064547519	0.719684521853434	0.725405763497847	0.943488943488943	0.373662017515407	0.535315985130112	0.722982301995732	0.647106764466178	0.515082711644502	0.573595810005418	0.615551593146756	0.582045621780721	0.769704832954914	0.662849162011173	0.611881800835439
0.61	6004	1	451	-45883.4293196466	1832.6483722917	806.079900902123	-30764.0769829531	1867.69402225737	0.711808963035656	0.705806033084658	0.708794788273616	0.71060022206257	0.738717339667459	0.706130392474862	0.722056384742952	0.731961535875193	0.942716857610475	0.373662017515407	0.535191637630662	0.72261949567181	0.643088116410671	0.516055789815115	0.572611121108512	0.612913167424301	0.594831911690918	0.769056114174505	0.670816239920781	0.623061964576654
0.62	6261	1	342	-23707.9248251243	1720.24892152928	772.553268356465	-6006.23400781857	1749.05449333936	0.732910970323441	0.712941939669153	0.722788556395922	0.728828171629418	0.760098349139445	0.701913720402206	0.729848229342327	0.747702301154032	0.942669942669943	0.373337658125203	0.534851301115242	0.722354713191917	0.670507895860009	0.509568602011028	0.579063767047549	0.630670413488559	0.615283613445378	0.759974051248784	0.680017414018285	0.63963963963964
0.63	6478	1	299	-16492.9041916838	1618.27009132488	739.96928588771	-4585.35817152488	1638.63999557313	0.738570944801896	0.70742783003568	0.722664015904573	0.732124874118832	0.772595806218366	0.693156016866688	0.730723200547102	0.75528380575387	0.944946589975349	0.373013298734998	0.534883720930233	0.723179474279965	0.682116309575864	0.50600064871878	0.581005586592179	0.637723816531763	0.628609986504723	0.755433019785923	0.686210960518562	0.650449645310842
